managementFees,sink_status,aircondition_status,shoebox_status,washingMachine_status,refrigerator_status,closet_status,gasStoves_status,bed_status,cafe_status,detail_info,convenienceStore_status,laundry_status,supermarket_status,busStation_status,subway_status,realEstateAgency_status
50000,,,True,True,True,,,,True,"5,7호선 군자역 7~8분 거리, 조용한 주택가 위치.

깔끔한 신축급 빌라식 건물입니다.

방, 거실 분리형 구조로 공간 좋아요.

전세자금대출 가능합니다.

현 임차인 거주중으로 입주시기는 협의하되, 들어오시는 분께 최대한 맞춰 드리기로 했습니다.

(문의 주실때 희망 입주일을 알려 주시면 가능여부 알려 드릴께요)

내부는 언제든지 보실 수 있으니 연락 주세요.

** 전세 1억7천 혹은 12000/25 도 가능합니다.",True,,,,True,
,,,,,,,,,,,,,,,,
,True,,True,,,,True,,True,"2층 전체 사용으로 공간 작지 않은 쓰리룸 입니다.

세탁실겸 베란다 공간 별도로 있어요.

건물1층 주차장 있으며, 입주하시면 주차 1대 가능합니다.

현재 임차인 거주중으로 이사날짜는 협의 하에 조정됩니다.

방문 전 미리 연락 주세요.


* 보증금/월세 7000/70 부터 1억/55 가능합니다.",True,,,,True,
70000,True,,True,True,True,True,,,True,"승강기있는깔끔한원룸3층풀옵션 
베란다겸주방으로사용 바닥방처럼보일러 들어와 편리합니다
직장이주관계로 6월28일경 좋아요.",True,,,,True,
,,,,,,,,,,,,,,,,
30000,,,,,,,,,True," 전세가능 2억2000

◈ 확인 사항 ◈

▷반려 동물 O



◈ 위치와 대중교통 정보 ◈

▷중곡역 도보 6분 거리의 
   조용한 주택가 3룸 입니다
   모든 대출가능 합니다
▷7호선 중곡역 430m 도보 6분
   5호선 7호선 군자역 780m 도보 11분
   버스 정류장 70m 도보 1분




◈ 구성과 구조적 특징 ◈

▷방 3개, 거실 및 주방, 화장실 1개 구성 입니다
    
▷방1 현장 실측 3.63m x 3.26m (남향)     
 방2 현장 실측 3.10m x 2.28m (서향)   
 방3 현장 실측 2.82m x 2.76m (서향)  
 거실 및 주방 현장 실측 4.73m x 3.01m        
     



◈ 도로 교통 및 학군 정보◈

▷강남 방향으로는 동일로 진입 후
   영동대교 까지 약 4km (차량 이용 약 12분)
   강동 방향으로는 천호대로 진입 후
   천호대교 까지 약 5km (차량 이용 약 13분) 입니다

▷약 1km 거리에 대원 외고, 대원고, 대원 여고, 용곡 초중학교가 있습니다 




◈ 반경 내 관공서 및 주요 시설 정보 ◈

▷0~200m 거리 (도보 약 2분)
-버스 정류장, 구립 어린이집, 파출소
 
▷200~400m 거리 (도보 약 5분)
-중곡역, 재래 시장, 우체국, 마을 공원, 파출소, 보건 복지 행정 타운, 광진구 육아 종합 지원센터

▷400~700m 거리 (도보 약 10분)
-주민센터, 공영 주차장, 문화 체육센터(수영장 포함), 도서관

▷700~1000m 거리 (도보 약 14분)
-군자역, 중랑천 공원





♥다른 궁금한 사항 있으시면 언제든 편하게 문의 주세요♥

♥차량 픽업 원하시면 말씀해 주세요♥
  (군자역 1번 출구, 중곡역 2,3번 출구)",True,,,,True,
,,,,,,,,,,,,,,,,
,,True,True,True,True,,True,,True,"- 중곡역 도보5분
- 실평수 약8평
- 분리형원룸(작은거실있음)
- 월세에 관리비(인터넷)포함(별도관리비 없음)
- 사진은 입주전 사진입니다
- 반려동물 불가, 실내흡연 불가
- 입주 6월중순 협의",True,,,,True,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
20000,,,,,,,,,True,"5.7호선 군자역 도보로 이용합니다.
방3개 화장실 1개입니다.
전용으로 넓습니다. 
주차 가능합니다.
즉시 입주 가능합니다. ",True,,,,True,
10000,,,,,,,,,True,"😍 좋은점 😍
→ 대출 가능 (4대보험 가입자)
→ 주차 가능 (위치협의)
→ 반려동물 가능 (협의)
→ 내부 리모델링 진행예정

😢 아쉬운점 😢
→ 빠른입주 불가능 (7월경입주)
→ 보증금 조절 불가능

👍 (*최근에 직접 촬영한 사진입니다.) 현세입자 퇴거 후 리모델링을 진행하여 임대를 진행할 예정입니다. 거의 모든 부분을 손보실 예정이라 추후 내부 상태가 매우 좋아질 것으로 예상합니다.

✅🚃 교통편
→ 지하철 : 5호선 아차산역 780m, 도보 12분
→ 버스 : 해오름공원입구 260m, 도보 4분
(카카오맵&Daum지도 기준)

✅🏢 구조 및 주요사이즈
→ 쓰리룸
→ 방(3),화장실(1),거실,주방,발코니

✅📌 매물정보 및 특이사항
→ 옵션 : 도어락,싱크대",True,,,,True,
70000,,True,,True,True,,,,True,"- 더블역세권 군자역7분, 다가구 공부상 지층, 실제 바닥1층
- 올수리 된 주방 분리형 풀옵션 원룸
- 관리비(수도, 인터넷 포함)
- 즉시입주 가능",True,,,,True,
25000,,True,,True,True,,True,,True,"1. 매물의 특징

   -   화이트톤으로 내부가 깔끔하게 수리 된 풀옵션 투룸 월세 매물입니다. 

       바로 거주할 수 있을 정도의 상태로 즉시입주와 협의 모두 가능합니다. 

       반려동물 사육이 불가능하다는 점은 참고 바랍니다. 

       큰방과 작은방의 창문이 모두 동향을 향하고 있습니다. 건물 자체는 남향을 보고 있습니다. 

       큰방의 크기가 큽니다. 혼자 거주할 시에는 작은방을 드레스룸으로 사용이 가능합니다. 


2. 주변 입지 및 교통 현황

   -   건대입구역 2호선 1번 출구까지 도보로 약 7분 정도 소요가 됩니다. 인근 출구 마다 버스정류장도 인접해 있습니다. 

       화양 제일시장과 대형 할인마트인 GS마켓을 도보로 이용할 수 있습니다. 

       골목으로 들어가기는 하나 막다른 골목이 아닙니다. 출입구가 두개가 있는 골목의 내부에 위치해 있습니다. 

       24시간 편의점과 코인빨래방과 같은 편의시설 또한 아주 가까운 위치에 있습니다.

       주변으로 아주 다양한 음식점 상권이 형성 되어 있습니다. ",True,,,,True,
30000,,True,True,True,True,,,,True,"1. 매물의 특징

   -  내부 구조가 반듯하며 깔끔한 분리형 원룸 매물입니다. 
 
      남향으로 채광이 없지 않습니다. 창문 앞으로 가까이 막고 있는 벽이나 물건들이 없습니다. 
 
      습기가 적으며 옵션들이 대체적으로 최신이라 아주 좋습니다. 

      이중 현관 보안으로 되어 있어서 치안이 아주 좋습니다. CCTV 또한 운용 중입니다. 

      빠른 입주가 가능한 매물입니다. 반려동물 사육은 불가능합니다. 


2. 주변 입지 및 교통 현황

   -  건대입구역 2호선 1번 출구까지 도보로 약 4분이 소요가 되며 각각의 출구 인근에 버스정류장이 있습니다. 

      유동인구가 항시 있는 위치라 치안이 아주 좋습니다. 
 
      24시간 편의점과 코인빨래방이 아주 가까운 위치에 있습니다. 

      대형 할인마트인 GS마켓과 화양 제일시장을 통해 필요한 생필품을 구매할 수 있습니다. 

      건대 맛의 거리와의 입지도 아주 좋습니다만 그에 따른 소음의 영향은 아주 적습니다. ",True,,,,True,
50000,,,,,,,,,True," ◈ 지음 공인중개사사무소 이병성 대표 ◈

☎ 문의전화 ☎ 010-8753-5190 (공인중개사/이병성)
ㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡ

♣ 매물 정보 ♣

→ 건대대로변 이면 교통좋은 원룸입니다.
→ 주택가에 위치하여 조용하며, 지상층 가성비 원룸입니다.
→ 각종편의시설이 가까이 있어, 생활도 편리합니다.
→ 옵션 多 (에어컨, 냉장고, 세탁기, 인덕션 등등)

▶ 현재 보시는 매물 외에도 다양한 매물 확보중입니다.
☎ 문의전화 ☎ 010-8753-5190 (공인중개사/이병성)
ㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡ

※ 정직하고, 정확한 중개를 약속드립니다.

- 직접 현장확인한 매물들만 올리겠습니다.
- 원하시는 계약 성사될때까지,
고객님들의 두다리가 되어 열심히 뛰겠습니다.
- 부담없이 연락주세요! 친절하게 상담해 드립니다.


※ 현재 보시는 매물 외에도 다양한 매물 확보중입니다.※
☎ 문의전화 ☎ 02) 499-2020 (친절한 상담약속드립니다.)
☎ 문의전화 ☎ 02) 499-2020 (공인중개사 / 이병성)",True,,,,True,
50000,True,,True,True,True,True,,,True,"▶ 신축 2중 보안 건물
▶ 화양동 건대입구역 도보 5분. 대로변 인접
▶ 주방 분리형 구조
▶ 실 면적 6평의 넓은 원룸
▶ 채광 좋고 보안 훌륭한 건물
▶ 1천/ 65 ~ 2천/60
▶ 전입신고 불가능

신축한지 오래지 않은 깔끔하고 넓은 원룸을 소개해드립니다.

화양동 건대입구역에서 도보로 5분 정도 소요됩니다.

7호선 출구쪽으로 매우 가깝고 특히 대로변이 가까워서 버스를 이용하기에도 좋습니다.

건국대학교 중문과 인접해있어서 통학하기에도 상당히 좋은 위치입니다.

조용하고 넓은 주택가 골목의 사거리에 위치한 건물이라 안전하고 주변도 쾌적합니다.

바로 앞에 대형마트와 재래시장이 있어서 편리하게 이용할 수 있고요~

주방 분리형의 구조로 현관문을 열면 주방부터 나오지 않고 방이 먼저 보이고 주방이 안쪽에 위치한 형태입니다.

방 사이즈는 2명이 거주해도 될 정도로 넓은 편이고 채광상태도 매우 좋습니다.

시공한지 얼마되지 않은 건물이라 내부시설도 최상급의 컨디션입니다.

전입신고가 불가능하니 참고 바랍니다.",True,,,,True,
5,True,,,True,True,,True,,True,"🥕 내.외부 구조 및 인테리어 안내
  ✔ 탁트인 느낌의 분리형 원룸 구조입니다!
  ✔ 도배,장판 등 새로 시공하여 컨디션 최상
  ✔ 서류상 반지층이나, 실제로는 1층!
  ✔ 화장실에 창문이 있어서 곰팡이 걱정 NO
  ✔ 방이 매우 넓어서 침대 놔둬도 넓은 크기!


🥕 위치 및 대중교통 안내
  ✔ 건대입구역(2,7호선) 도보 10분 거리에 위치
  ✔ 건국대학교까지 도보 10분이내
  ✔ 건대병원, 건대입구사거리 버스정류장 다수 이용가능


🥕 주변 편의시설 및 치안
  ✔ 편의점, 빨래방, 병원, 약국, 카페 등 각종 편의시설이 인접해 있습니다.
  ✔ 원룸 밀집 지역이라 골목골목 방범용 CCTV 상시 녹화
  ✔ 번화가 인근이라 늦은 귀가길도 안심!!
  ✔ 먹자골목과 주거지역의 분리로 소음 걱정 없이 꿀잠 가능!!

🥕 주차 안내 
  ✔ 주차 불가능 합니다.


❤️현장 방문 후 직접 촬영한 실매물 사진 입니다.
❤️고객님이 원하는 매물, 책임지고 중개하겠습니다.
❤️언제나 성실, 정직하게 중개하겠습니다.

🥕문의전화 : 02-461-5989  /  010-6496-4184
🥕카카오톡 : angel_ujin
🥕찾아오시는길 : 광진구 화양동 34-57 1층 당근부동산",True,,,,True,
,,,,,,,,,,,,,,,,
40000,,,True,True,True,,True,,True,"실평수 약 7.5평 정도의  이중보안  신축급 오픈형

✔ 보증금: 5,000만원/월세 40만원  ^&^보증금 은행협의 가능 

✔ 조용한 주택가, 큰길가 , 완벽 보안  ~~베란다까지

-   짐나둘곳이 없어 답답한 원룸 NO!, 2분 거주도 여유

-   인근 직장분들이 가장 선호하는 넓은 베스트 원룸

-    하이트톤 ~ 신축급 원룸

✔  보안:  현관, 출입문: 전자키, 임대인 직접관리, 

✔ 동일 금액 대비  비교      :A: 우수     B: 평균    C: 미흡 ※※

★건물외관: A   ★ 내부인테리어: A   ★ 보안: A 
★환기,채광: A  ★방크기 : A      ★ 교통 : 건대역기준: A  어린이대공원역기준: C


★★★  카카오톡 : modu4959 ★★★",True,,,,True,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
60000,,True,True,True,True,,,,True,"🥕 내.외부 구조 및 인테리어 안내
  ✔ 넓고 환하게 쓸 수 있는 옥탑의 1.5룸입니다.
  ✔ 방이 넓고, 창이 많아서 채광과 환기가 정말 좋은 집입니다.
  ✔ 옥탑이라 앞에 옥상공간도 넓게 활용 가능합니다.(단독사용은 아니예요)
  ✔ 화장실에도 창이 있어 곰팡이 걱정 없어요.
    
🥕 위치 및 대중교통 안내
  ✔ 건대입구역/어린이대공원역 도보 10분에 위치한 더블역세권
  ✔ 건국대학교까지 도보 10분이내
  ✔ 건대병원, 건대입구사거리 버스정류장 다수 이용가능

🥕 주변 편의시설 및 치안
  ✔ 2/7호선 더블역세권으로 각종 편의시설이 인접해서 살기 너무 편해요.
  ✔ 골목골목 방범용 CCTV 상시 녹화, 늦은시간에도 유동인구 많아요! 늦은 귀가길도 안심!!
  ✔ 먹자골목과 주거지역의 분리로 소음 걱정 없이 꿀잠 가능!!

🥕 주차 안내
  ✔ 주차는 불가능합니다.
 
🥕현장 방문 후 직접 촬영한 실매물 사진 입니다. 
🥕항상 고객의 편에서 중개하겠습니다.
🥕문의전화 : 02-461-5989, 010-6496-4184 / 카카오톡 : angel_ujin
🥕찾아오시는길 : 광진구 화양동 34-57 1층 당근부동산",True,,,,True,
50000,,True,True,True,True,,,,True,"내부 사이즈 아주 넓습니다

원룸원거실로 공간 충분합니다

겨울에 따뜻한 방입니다

컨디션 대비 저렴하며 훌륭한 방이구요

빨리 계약될 방이라 얼른보셔야 할 방입니다",True,,,,True,
80000,,True,True,True,True,True,,,True,"자체 허위매물보상제 5만원지불 : 사전 문의 꼭 해주세요 !!


✔ 보증금: 1,000만원/55만원 @@사진은 현 세입자 입주전 촬영입니다


●──[위치]──●
건대입구 인근으로 대중교통 이용하시기에
도보 8분안으로 해결이 되기 때문에
위치적으로 아주 훌륭합니다.

●──[옵션사항]──●
에어컨, 세탁기,냉장고, 인덕션, 옷장,
책장 등이 포함되어 있어
생활하기에 불편함이 없으실 거에요

●──[보안시설]──●
24시간 가동중인 CCTV 및 역세권에
위치해 있어 있어 보안에 문제가 없습니다.

●──[건대원룸 특징]──●
오피스텔급 관리 와 엘레베이터가 있어
간편한 이사와 깨끗한 주거환경 보장
받으실수 있습니다.

●──[주변상권]──●
10분이내 주변에 커먼그라운드, 편의점, 은행,
맛집들이 있어 쇼핑 과 식사가 자유롭답니다.

●──[보증금/월세]──●
1만원이라도 저렴하게~
고객입장에서 항상 생각하며 실천하고 있습니다.
100% 실매물, 실사진! 내집 구한다는 마음으로
최선을 다하겠습니다.

【*카톡친구*】 modu4959",True,,,,True,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
10000,,True,True,True,True,,True,,True,"큰 방 작은 방 할 것 없이 모두 큰 방입니다

에어컨은 큰 방에 1대 있구요

주방공간도 있어 테이블도 놓을 수 있는 공간이 있어요

모든 인프라가 갖춰져서 편의시설들이 인접해 있으며

조용한 방입니다

채광또한 아주 훌륭한 방이에요",True,,,,True,
30000,,True,True,True,True,,,,True,"💚 100%실매물만 소개드려요^^ 💚

♡ 빌라형건물 ALL 리모델링 투룸 입니다~
♡ 젊은 감각!! 세련되고 유니크하게 리폼되어서 느낌있습니다~~
♡ 각방에 에어컨 설치,넓직한 주방공간 깔끔깔끔합니다^^
♡ 걱정하시는 융자없이 권리관계 깨끗한 상태구요.

🌸 보증금 조정 : 고정
🌸 보증금 대출 : 가능
🌸 계약기간 : 2년

------------------------------------------------

✅ 임대료 : 보증금10,000만원/월세 60만원
✅ 관리비 : 월3만원(수도요금 포함 ,2인거주시 4만원)

------------------------------------------------

♥ 교통편 :[지하철] 건대입구역7분,어린이대공원역 6분
[버 스] 4212, 240, 2222, 6013(공항버스)
♥ 위치 : 건대중문 5분,세종대 10분, 조용한 주택가
♥ 옵션 : 에어컨,냉장고,인덕션,세탁기,신발장,
♥ 구조 : 투룸
♥ 편의시설 : 이마트,롯데백화점,스타시티몰,맛의거리",True,,,,True,
70000,,True,True,True,True,,True,,True,"자체 허위매물보상제 5만원지불 : 사전 문의 꼭 해주세요 !!

-실평수 약 6평의 1.5층 오픈형

【보증금】 500만원/53만원~@@사진은 현 세입자 입주전 촬영입니다

- 건물 : 큰길가 이중보안 1.5층 /총2층
- 보안: 출입문, 현관 : 전자키, 방화문, 임대인 직접관리, 방범창, cctv
- 교통: 건대입구 6분, 어린이대공원 10분, 빨래방*편의점 1분

【건대원룸 특징】
- 가성비 넓은 오픈형 , 이중보안, 큰길가

【동일 금액】 대비 비교 :A: 우수 B: 평균 C: 미흡 ※※
★건물외관: A ★ 내부인테리어: A ★ 보안: A
★환기,채광: A ★방크기 : A
★ 교통 : 건대역기준: A 어린이대공원역기준: C


✔ 재계약율이 높은 모두공인중개사 사무소!! 다 이유가 있습니다.
- 동일장소 10여년 영업 노하우!! 젊은 여성중개사가 최고의 매물만 선별하여
맞춤형 중개와 엄마의 정성으로 ~ 고객님께 돌려드립니다!!

【카톡 친구】 modu4959",True,,,,True,
30000,,,True,True,True,,True,,True," ※ 자체 허위매물보상제 5만원지불 : 사전 문의 꼭 해주세요  !!  ※
    
실평수 약6평 정도 2.5층 오픈형 초역세권  ~건대원룸

  보증금: 500만/48만   ~ 1,000만원/ 40만원
   사진은 현 세입자 입주전 촬영입니다 

✔ 건대원룸 특징:  내부 올리모델링 3년차~~ 초역세권

 ✔  ~~주택가라 밤길 안정하고, 부근 CCTV밀집지역으로 방범,치안이 좋습니다 

✔  보안: 초역세권 ,  출입문: 방화문, 전자키  , 방화문, CCTV 밀집지역

동일금액 대비  비교     :A: 우수     B: 평균    C: 미흡 ※※

★ 건물외관:  A   ★ 내부인테리어: A   ★ 보안: A  
★ 환기,채광: A  ★방크기 : A      ★ 교통 : 건대역기준:  A A어린이대공원역기준: C

✔ 동일장소  10여년 영업 노하우~ 엄마의 정성으로 ~고객님께 돌려드립니다  !!!

★★★  카카오톡 : modu4959 ★★★",True,,,,True,
50000,,True,True,True,True,,True,,True,"※ 자체 허위매물보상제 5만원지불 : 사전 문의 꼭 해주세요  !!  ※
    
실평수 약 13평 정도의  1.5층 방2 +부억 겸 거실, 옵션
✔ 보증금 : 18,000만원  @@ 사진은 현 세입자 입주전 촬영입니다 
    보증금: 5,000만원 ~ 70만원

은행협의  가능한 귀한 투룸전세

【옵션】 에어컨, 냉장고, 세탁기, 가스렌지
【개별계량기】 전기, 가스
【출입문】 내방만 전자도어락, 방범창, 임대인 직접관리
【도보】 건대입구 도보 4분, 어린이대공원 10분                                

✔ 건대투룸 특징
-   큰길가에 위치해 있고 주변 CCTV 밀집되어 안심귀가 가능 ~
-   방문열면 눈앞에 재래시장 * gs마트 30초안에~~

✔ 동일 금액 대비  비교        :A: 우수     B: 평균    C: 미흡 ※※

★건물외관: B   ★ 내부인테리어: A   ★ 보안: A 
★환기,채광: A  ★방크기 : B      ★ 교통 : 건대역기준: A  어린이대공원역기준: C


-10년 영업 노하우~ 엄마의 정성으로 ~고객님께 돌려드립니다  !!!

★★★  카카오톡 : modu4959 ★★★",True,,,,True,
,True,,True,True,True,,True,,True,"✸ 가  격: 500/55
✸ 옵  션: 가스렌지,냉장고,세탁기,에어컨,신발장,도어락
✸ 층  수: 1.5층
✸ 위  치: 건대입구 2호선 1번출구에서 도보로 5분내외

▶ 베란다 있어요!!

   건대입구역 2호선 1번출구에서 도보로
   5분정도 거리에 위치한 매물입니다.

   내부 리모델링 깔끔하게 되어 있습니다.

   주방 공간이 분리되어 있는 구조이고
   사진으로 확인 가능하듯이 방 사이즈도 넓어서
   혼자 거주하기에는
   충분한 방 사이즈를 가지고 있습니다.

   별도의 베란다 공간도 있어서
   빨래 건조하거나 안쓰는 짐 수납하기에
   편리합니다.
   

   ",True,,,,True,
30000,,True,True,True,True,,,,True,"✸ 가  격: 500/45
✸ 옵  션: 인덕션,냉장고,세탁기,에어컨,신발장,도어락
✸ 층  수: 반지층
✸ 위  치: 건대입구 2호선 1번출구에서 도보로 5분내외

▶ 채광 좋아요!!

   건대입구역 2호선 1번출구에서 도보로
   5분정도 거리에 위치한 매물입니다.

   내부 리모델링 깔끔하게 되어 있습니다.

   사진으로 확인 가능하듯이
   반지층 매물이지만 옆 건물과의 거리가 떨어져 있어서
   채광 좋고 습기 없습니다.

   혼자 거주하기에는
   충분한 방 사이즈를 가지고 있고
   주위에 대형 마트와 재래 시장이 가까워서
   생활하기에 편리합니다.

   창문이 커서 환기 시키기에도 편합니다.",True,,,,True,
30000,,True,True,True,True,,,,True,"※ 자체 허위매물보상제 5만원지불 : 사전 문의 꼭 해주세요  !!  ※

 -실평수 약 6.5평의  큰길가 이중보안 지상 오픈형

【보증금】 3,000만원/50만원  보증금 대출 가능
    @@ 사진은 현 세입자 입주전 촬영입니다  
         
                     
-   건물  :  다가구주택(내부계단)   1.5층 /총3층 
-  보안:  출입문 : 전자키, 방화문,  임대인 직접관리,   방범창 
-   교통:  건대입구 5분, 어린이대공원 12분, 빨래방*편의점 1분

【건대원룸 특징】 
-   내부 리모델링,  
-   깔끔한 화이트톤 인테리어로 취향저격!

【동일 금액】  대비  비교      :A: 우수     B: 평균    C: 미흡 ※※
★건물외관: A   ★ 내부인테리어: A   ★ 보안: A  
★환기,채광: A  ★방크기 : A      
★ 교통 : 건대역기준: A  어린이대공원역기준: B

-   동일장소 10여년 영업 노하우~
     엄마의 정성으로 ~고객님께 돌려드립니다!

【카톡 친구】 modu4959",True,,,,True,
